basefreq = 261.63
R = Inf
range = Inf

------------------------------------------------------------
Now computing dissonance for (symmetrical) class ID=1 :
S =

  0  1  2  3
 [0,2,7,8] 	D = 3.7211
 [0,2,8,19] 	D = 2.7468
 [0,5,6,10] 	D = 3.2195
 [0,6,17,22] 	D = 1.7186
 [0,5,10,18] 	D = 2.3259
 [0,6,10,17] 	D = 2.2001
 [0,10,17,18] 	D = 2.6463
 [0,10,18,29] 	D = 1.8018

min, max, mean, stdev:
  1.51676  3.82452  2.30660  0.66773

Now computing dissonance for the inverse form:
S =

  0  2  6  7

 [0,2,6,7] 	D = 3.9122
 [0,10,16,17] 	D = 2.4922
 [0,6,14,19] 	D = 1.8629
 [0,4,10,17] 	D = 2.3299
 [0,6,8,13] 	D = 2.6632
 [0,8,18,25] 	D = 1.5678
 [0,2,7,18] 	D = 2.8285
 [0,10,17,28] 	D = 1.7259
 [0,6,7,14] 	D = 2.7284
 [0,4,5,10] 	D = 3.3496
 [0,6,13,20] 	D = 1.9109
 [0,8,13,18] 	D = 2.0297
